"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"203812_at",-1.04297720798112,8.94481368577055,-7.04566292972172,3.20104746011707e-10,6.31229562422909e-08,13.0397065593705
"217232_x_at",-1.77833467899574,11.1440741148562,-7.03572864310762,3.35320859778383e-10,6.55434624424712e-08,12.9949431023162
"206030_at",-1.71645858934463,7.67299823716242,-7.02784516249268,3.47904535846355e-10,6.74117980196898e-08,12.9594332569606
"203414_at",-1.03562997878647,11.1017545686256,-7.01028065892086,3.77650346213088e-10,7.25446781436745e-08,12.8803577448298
"213348_at",-1.03255676740689,10.708051757937,-6.99326976108122,4.08859105146798e-10,7.78684396580008e-08,12.8038288423102
"214439_x_at",-1.28875220332992,9.5026544204862,-6.97782296411444,4.39407011867658e-10,8.22798860961936e-08,12.7343832469314
"209763_at",-1.09390801082851,10.9956973058952,-6.95392631610658,4.91180533568721e-10,9.12081319125984e-08,12.6270373904712
"37117_at",1.31479933487845,8.25489770562541,6.94978520195425,5.00748165754757e-10,9.22162923761426e-08,12.608446160184
"209613_s_at",-2.28371547968277,10.5952203151455,-6.94138125574868,5.2073623582969e-10,9.51111929753523e-08,12.5707273312118
"218124_at",-1.12590947555788,10.8858596726411,-6.91922882660884,5.77294409560922e-10,1.04584157140212e-07,12.4713672784067
